lon,lat,alt,distr
-107.2095095,26.86589799,2437,curr
-107.0903887,25.42197949,1909,curr
-107.087222,27.05045781,2423,curr
-106.99667,24.40756768,142,curr
-106.9279358,26.11448182,2372,curr
-106.9217229,25.90723679,2366,curr
-106.7482127,24.05280683,291,curr
-106.6568639,25.84290253,2353,curr
-106.5969713,24.7948088,1343,curr
-106.5647908,24.61339805,626,curr
-106.4590385,24.79938685,465,curr
-106.3953689,24.57634435,571,curr
-106.2746656,24.88752813,928,curr
-106.1826473,23.98566649,375,curr
-106.0633089,24.48638711,1992,curr
-105.9649472,25.1395478,2445,curr
-105.935198,24.54873116,1290,curr
-105.8414276,23.26578763,500,curr
-105.8054967,23.56331866,1649,curr
-105.7862257,23.89399173,1276,curr
-105.7594289,22.76832023,1,curr
-105.6736323,23.65314395,2098,curr
-105.575899,22.75615482,280,curr
-105.5107031,20.31483725,177,curr
-105.4851902,22.57133586,50,curr
-105.343968,19.84973041,7,curr
-105.3429889,22.55255247,39,curr
-105.3076805,21.87988613,8,curr
-105.2940696,23.18132472,654,curr
-105.2678983,22.5929504,210,curr
-105.2674706,22.40988992,40,curr
-105.2041875,24.32923327,2381,curr
-105.1718423,24.2019224,2330,curr
-105.1679648,23.41559549,1844,curr
-105.1375596,23.09902985,851,curr
-105.1257987,20.64237685,1031,curr
-105.0912863,19.6275769,150,curr
-105.0101219,21.49504315,1464,curr
-104.9957464,20.53565578,1315,curr
-104.9894709,22.41198073,740,curr
-104.965006,22.04339207,251,curr
-104.9389432,20.2136633,550,curr
-104.9301916,20.38164137,1458,curr
-104.9135524,20.05339752,392,curr
-104.9101891,21.35283525,1146,curr
-104.8189838,21.23212019,1030,curr
-104.7180037,23.07276646,2105,curr
-104.6853743,22.51238505,2154,curr
-104.652894,23.32949515,2753,curr
-104.6506761,20.80175981,938,curr
-104.6484085,19.91865974,787,curr
-104.5534394,20.75521196,704,curr
-104.4364283,22.74819434,1645,curr
-104.4047545,19.72649826,1498,curr
-104.3955659,21.08973274,1420,curr
